title,price,category,materials,region,num_favorers,views,url,image_url
Upgrade,19.651999999999997,Dresses (Casual),['Unknown'],BG,5,939,https://www.etsy.com/listing/1866552056/upgrade,
Lining cost for 1 dress -- ***,11.0,Dresses (Casual),['Unknown'],Unknown,699,42199,https://www.etsy.com/listing/154864690/lining-cost-for-1-dress,
"Linen Summer Two Piece Sewing Pattern, Wrap Top Wide Leg Pants (PDF Download)",8.040000000000001,Dresses (Casual),['linen'],PK,2397,21571,https://www.etsy.com/listing/4533060111/linen-summer-two-piece-sewing-pattern,
Knitted Dress Pattern: Easy Summer Beach Dress Tutorial (Digital Download),4.624,Dresses (Casual),['knit'],DE,2,217,https://www.etsy.com/listing/4551030838/knitted-dress-pattern-easy-summer-beach,
"Linen Maxi Dress for Women, Loose Fit Summer Linen Dress, Boho Cottagecore Dress with Pockets, Plus Size Linen Clothing",129.94,Dresses (Casual),['linen'],GB,16,311,https://www.etsy.com/listing/4518884867/linen-maxi-dress-for-women-loose-fit,
"Vest Sewing Pattern, PDF Linen Duster Vest Pattern, Open Front Sleeveless Longline Waistcoat, Sizes XS-XXXL, Print at Home",3.84,Dresses (Casual),['linen'],US,35,447,https://www.etsy.com/listing/4532039623/vest-sewing-pattern-pdf-linen-duster,
Additional Fee For Ao Dai,7.258,Dresses (Casual),['Unknown'],VN,2,583,https://www.etsy.com/listing/4406295253/additional-fee-for-ao-dai,
Dungaree Jumpsuit Sewing dress Pattern PDF,2.99,Dresses (Casual),['cotton'],PK,260,1730,https://www.etsy.com/listing/4519606144/dungaree-jumpsuit-sewing-dress-pattern,
Custom order,35.71,Dresses (Casual),['Unknown'],UA,1,295,https://www.etsy.com/listing/4480649992/custom-order,
"Linen Maxi Dress for Women, Button Front Shirt Dress, Long Sleeve Beach Vacation Dress, Boho Resort Wear Clothing",67.0,Dresses (Casual),['linen'],PK,60,1245,https://www.etsy.com/listing/4538719983/linen-maxi-dress-for-women-button-front,
Infinity Dress for Bridesmaids Wedding Guest Dress bridesmaid Dress Prom Dress Convertible Dresses Mother of the Bride Cocktail Maxi dress,58.52,Dresses (Bridal/Formal),['polyester'],US,1806,106582,https://www.etsy.com/listing/1732438621/infinity-dress-for-bridesmaids-olive,
Worship garment SPLENDOR / Efod danza RESPLANDOR,55.0,Dresses (Casual),['spandex'],US,200,10662,https://www.etsy.com/listing/1851105220/worship-garment-splendor-efod-danza,
Shirt Dress Sewing Pattern PDF,1.99,Dresses (Casual),['linen'],PK,16,91,https://www.etsy.com/listing/4517814457/shirt-dress-sewing-pattern-pdf,
"Customization listing for rush order, slit anf other",15.0,Dresses (Casual),['Unknown'],UA,30,2260,https://www.etsy.com/listing/4379855215/customization-listing-for-rush-order,
quilted jacket sewing pattern | funnel neck jacket sewing pattern | pdf download XS-3XL,12.99,Dresses (Casual),['Unknown'],PK,48,1056,https://www.etsy.com/listing/4427536288/quilted-jacket-sewing-pattern-funnel,
Women’s Dress – V Neck Ruffle Summer Dress,75.0,Dresses (Casual),['linen'],PK,36,1739,https://www.etsy.com/listing/4547475406/womens-linen-look-midi-dress-v-neck,
FABRIC sample SWATCH. Free Shipping,0.99,Dresses (Bridal/Formal),['polyester'],US,236,26511,https://www.etsy.com/listing/960818916/fabric-sample-swatch-free-shipping,
Lounge Set Sewing Pattern PDF | Easy Pull-On Shorts + Sleeveless Tank Top | Beginner | Sizes xs-xxxl | Print at Home US Letter + A4,3.87,Dresses (Casual),['linen'],US,119,769,https://www.etsy.com/listing/4530347328/lounge-set-sewing-pattern-pdf-easy-pull,
"Festival Crochet Vest Pattern, Boho Fringe Cardigan, Sleeveless Duster (PDF Download)..",4.9,Dresses (Casual),['crochet'],US,3,371,https://www.etsy.com/listing/4506224536/festival-crochet-vest-pattern-pdf-boho,
